------------------------------
Process Logger :Tue Nov 29 04:24:45 2022
------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 20524, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'chrome.exe'}
{'pid': 20564, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'msedge.exe'}
{'pid': 20668, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'python3.10.exe'}
{'pid': 20700, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'taskhostw.exe'}
{'pid': 20824, 'username': None, 'name': 'SearchProtocolHost.exe'}
{'pid': 20876, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'crashpad_handler.exe'}
{'pid': 20944, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'Code.exe'}
{'pid': 21028, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'bittorrentie.exe'}
{'pid': 21092, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'GoogleDriveFS.exe'}
{'pid': 21120, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'Code.exe'}
{'pid': 21128, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'SECOCL64.exe'}
{'pid': 21312, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'igfxEM.exe'}
{'pid': 21476, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'msedgewebview2.exe'}
{'pid': 21500, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'msedge.exe'}
{'pid': 21520, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'AdobeARM.exe'}
{'pid': 21748, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'svchost.exe'}
{'pid': 21768, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'msedgewebview2.exe'}
{'pid': 21832, 'username': None, 'name': 'svchost.exe'}
{'pid': 21840, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'GoogleDriveFS.exe'}
{'pid': 22044, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'python3.10.exe'}
{'pid': 22244, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'svchost.exe'}
{'pid': 22388, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'svchost.exe'}
{'pid': 22440, 'username': None, 'name': 'svchost.exe'}
